name,definition,formula,bq_query,bq_field,source_table,source_of_truth,validation_status,kpi_deck_slide,notes
SaaS ARR,"Annualized recurring revenue at the end of the most recent complete quarter, FX-adjusted to CAD.",Total MRR x 12 (FX-adjusted),buildMonthlyMRRSQL,totalARR,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 2,"Quarter-exit value. Uses last month of quarter. FX via revenue.fx_rates JOIN."
Net New ARR,"Sum of monthly net new MRR within a quarter, annualized. Shows quarterly growth/contraction in recurring revenue.","SUM(monthly Net New MRR) x 12, where Net New MRR = New MRR + Expansion + Downgrades + Cancellations",computeNetNewARR (derive-metrics.ts),netNewARR (derived),"revenue.TransLineFlattened + revenue.fx_rates","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 2,"Only includes complete quarters (3 months). Partial quarters excluded. Downgrades and cancellations are negative."
Pre-FX Gross ARR %,"Quarterly average Gross Revenue Retention rate, pre-FX. Measures revenue retained from existing customers excluding growth.","Avg of monthly (Start MRR - Cancellations - Downgrades) / Start MRR across 3 months of the quarter",groupPreFxByQuarter (kpi-summary.ts),avgGrossRet (derived from PreFxRow.grossRet),revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Slide 2,"Benchmark: 85-90+%. Groups by EntityRecordID. Uses SUM(SaaSAmount) with no filters."
Pre-FX NRR %,"Quarterly average Net Revenue Retention rate, pre-FX. Measures revenue retained from existing customers including growth.","Avg of monthly (Start MRR - Cancellations - Downgrades + Expansions) / Start MRR across 3 months",groupPreFxByQuarter (kpi-summary.ts),avgNetRet (derived from PreFxRow.netRet),revenue.TransLineFlattened,"Feb Monthly.xlsx (NRR By Customer tab)",exact_match,Slide 2,"Benchmark: 100+%. Exact match for Feb '26: 96.33%. Groups by EntityRecordID."
Cumulative ACV,"Running total of all new Annual Contract Value booked since the start of tracking, at quarter end.",Running SUM(New MRR x 12) from first month through quarter end,groupACVByQuarter (kpi-summary.ts),cumulativeACV (derived),revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",unvalidated,Slide 2,"Computed client-side from monthlyData. Only includes complete quarters."
Paying Logos,"Count of distinct entities with non-zero SaaSAmount in a given month, at quarter end.",COUNT(DISTINCT EntityRecordID) WHERE SaaSAmount != 0,buildMonthlyMRRSQL,payingLogos (as logo_count),revenue.TransLineFlattened,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,Slide 2,"End-of-quarter snapshot. Uses EntityRecordID grouping."
S&M:Net New ARR,"Sales & Marketing spend divided by Net New ARR. Efficiency metric for growth investment.",S&M Spend / Net New ARR,N/A — blocked,N/A,"revenue.TransLineFlattened + P&L data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 2,"Blocked: requires P&L data (S&M line items) not yet in BigQuery. Benchmark: <1.5."
S&M:New ARR,"Sales & Marketing spend divided by New ARR only (excludes expansion). Customer acquisition efficiency.",S&M Spend / New ARR,N/A — blocked,N/A,"revenue.TransLineFlattened + P&L data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 2,"Blocked: requires P&L data. Benchmark: <1.0."
Rule of 40,"Combined YoY revenue growth rate plus EBITDA margin. SaaS health benchmark.",YoY ARR Growth % + EBITDA Margin %,N/A — blocked,N/A,"revenue.TransLineFlattened + P&L data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 2,"Blocked: requires P&L data for EBITDA. Benchmark: 35-40%."
Rev / Emp,"Annualized quarterly revenue divided by headcount. Revenue efficiency per employee.","(Qtr Total Revenue / 3) x 12 / Headcount",N/A — blocked,N/A,"revenue.TransLineFlattened + headcount data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 2,"Blocked: requires headcount data. Benchmark: $125-135k."
Cost / Emp,"Annualized quarterly operating cost divided by headcount.","(Qtr Total OpEx / 3) x 12 / Headcount",N/A — blocked,N/A,"P&L data + headcount data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 2,"Blocked: requires P&L + headcount data."
Gross Margin %,"Gross profit as a percentage of revenue.","(Revenue - COGS) / Revenue x 100",N/A — blocked,N/A,"P&L data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 2,"Blocked: requires P&L data (COGS line items)."
Operating Exp %,"Operating expenses as a percentage of revenue.",OpEx / Revenue x 100,N/A — blocked,N/A,"P&L data (not in BQ)","USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",blocked,Slide 2,"Blocked: requires P&L data."
Total MRR (FX-adjusted),"Monthly Recurring Revenue for all paying entities, converted to CAD using monthly OFX USD/CAD rates.","SUM(entity SaaSAmount x FX rate) where US entities get avg_rate from fx_rates, CAN entities get 1.0",buildMonthlyMRRSQL,totalMRR,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Currency detection: most recent Income transaction with US-Sales or CAN-Sales in AccountFullName."
Total ARR (FX-adjusted),"Annualized MRR. Simply Total MRR multiplied by 12.",Total MRR x 12,buildMonthlyMRRSQL,totalARR,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),Derived from totalMRR in the same query.
New MRR (FX-adjusted),"Monthly revenue from brand-new paying entities (first month with SaaSAmount > 0), FX-adjusted.","SUM(cur_mrr x FX rate) WHERE prev_mrr = 0 AND cur_mrr > 0",buildMonthlyMRRSQL,newMRR,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Entity had zero revenue in prior month, non-zero in current month."
Expansion MRR (FX-adjusted),"Monthly revenue increase from existing entities that grew their spend, FX-adjusted.","SUM((cur_mrr - prev_mrr) x FX rate) WHERE prev_mrr > 0 AND cur_mrr > prev_mrr",buildMonthlyMRRSQL,expansion,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),Positive value. Only includes entities that increased.
Downgrade MRR (FX-adjusted),"Monthly revenue decrease from existing entities that reduced their spend but didn't cancel, FX-adjusted.","SUM(-(prev_mrr - cur_mrr) x FX rate) WHERE prev_mrr > 0 AND cur_mrr > 0 AND cur_mrr < prev_mrr",buildMonthlyMRRSQL,downgrades,revenue.TransLineFlattened + revenue.fx_rates,"USD Rates Board KPI Deck Preparation 2023+ (1).xlsx",near_match,MRR Metrics table (Slide 12),"Stored as negative number. Entity still active, just paying less."
